title,price,rating,review_count,url
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 6, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Silver",24817.0,4.3,42,https://www.amazon.com//HP-Portable-Microsoft-Quad-Core-Processor/dp/B0CL7Z6GTZ/ref=sr_1_1?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-1
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",27470.510000000002,4.3,1044,https://www.amazon.com//A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_2?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-2
"HP Newest Flagship 15.6 HD IPS Laptop for Business, Quad-Core i7-1165G7(Up to 4.7GHz), 32GB RAM, 1TB PCIe SSD, Iris Xe Graphics, NumPad, Webcam, HDMI, WiFi, Bluetooth, Windows 11, GM Accessories",68309.0,4.1,48,https://www.amazon.com//HP-Quad-Core-i7-1165G7-Bluetooth-Accessories/dp/B0CPTPMM3V/ref=sr_1_3?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-3
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",24899.170000000002,4.2,1095,https://www.amazon.com//HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_4?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-4
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, 2021, Snowflake White)",15103.51,3.9,752,https://www.amazon.com//HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_5?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-5
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” FHD Display, Intel i3-1005G1 CPU, 8GB RAM, 128GB SSD, Backlit Keyboard, Fingerprint, Windows 10 Home in S Mode, Slate Gray, F512JA-AS34",27389.170000000002,4.4,5942,https://www.amazon.com//ASUS-F512JA-AS34-VivoBook-i3-1005G1-Fingerprint/dp/B0869L1326/ref=sr_1_6?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-6
"HP 2023 Latest Pavilion Business Laptop, 15.6"" FHD Touchscreen, 13th Gen Intel Core i7-1355U, 32GB RAM, 1TB PCIe SSD, Webcam, FP Reader, Backlit KB, Wi-Fi 6, Windows 11 Pro, Silver",64491.0,4.2,42,https://www.amazon.com//HP-Pavilion-Business-Touchscreen-i7-1355U/dp/B0C91Q3YBL/ref=sr_1_7?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-7
"HP Portable Laptop (Include 1 Year Microsoft 365), 14’’ HD Display, 8GB RAM, 64GB eMMC, Intel Quad-Core N4120, Student and Business, Webcam, HDMI, Wi-Fi, RJ-45, Windows 11 Home, Pink",19090.0,4.1,266,https://www.amazon.com//HP-Portable-Microsoft-Quad-Core-Business/dp/B0CHH84R39/ref=sr_1_8?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-8
"Lenovo IdeaPad 1 14 Laptop, Intel Celeron N4020, 4GB RAM, 128GB Storage(64GB eMMC+64GB Micro SD), Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",13772.19,3.7,316,https://www.amazon.com//Lenovo-IdeaPad-Celeron-Storage-Graphics/dp/B0CK66T68X/ref=sr_1_9?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-9
"Dell Inspiron 15 3520 15.6"" Touchscreen FHD Business Laptop Computer, Intel Quad-Core i5-1135G7 (Beat i7-1065G7), 16GB DDR4 RAM, 1TB PCIe SSD, 802.11AC WiFi, Bluetooth, Carbon Black, Windows 11 Pro",48057.0,4.7,9,https://www.amazon.com//Dell-15-3520-Touchscreen-Quad-Core/dp/B0CC596FJL/ref=sr_1_10?crid=1O8DK7301011J&keywords=laptop&qid=1704736390&sprefix=laptop%2Caps%2C418&sr=8-10
